MODEL,SERIAL,PALLET,TIME,RESULT,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT01 CURR,ACT01 VOLT,ACT01 TIME,ACT02 CURR,ACT02 VOLT,ACT02 TIME,ACT02 CURR,ACT02 VOLT,ACT02 TIME,ACT02 CURR,ACT02 VOLT,ACT02 TIME,ACT02 CURR,ACT02 VOLT,ACT02 TIME,ACT02 CURR,ACT02 VOLT,ACT02 TIME,ACT03 CURR,ACT03 VOLT,ACT03 TIME,ACT03 CURR,ACT03 VOLT,ACT03 TIME,ACT03 CURR,ACT03 VOLT,ACT03 TIME,ACT03 CURR,ACT03 VOLT,ACT03 TIME,ACT03 CURR,ACT03 VOLT,ACT03 TIME,ACT04 CURR,ACT04 VOLT,ACT04 TIME,ACT04 CURR,ACT04 VOLT,ACT04 TIME,ACT04 CURR,ACT04 VOLT,ACT04 TIME,ACT04 CURR,ACT04 VOLT,ACT04 TIME,ACT04 CURR,ACT04 VOLT,ACT04 TIME,SENSOR 1,SENSOR 2,SENSOR 3,SENSOR 4,SENSOR 5,SENSOR 6,MEMO
0000_DEFAULT,,,12:12:16,NG,,,,,,,,,,,,,,,,,,,,,,,,,#124,#0.31,0.2,#0,0.31,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,,,13:09:03,NG,,,,,,,,,,,,,,,,,,,,,,,,,#217,#0.32,0.2,#0,0.31,0.2,22,4.60,3.2,#0,4.91,0.2,14,0.33,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0000_DEFAULT,,,13:33:14,NG,,,,,,,,,,,,,,,,,,,,,,,,,#129,#0.31,0.2,#0,0.32,0.2,22,#4.50,3.0,#0,4.91,0.2,14,0.33,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,,,13:41:01,NG,,,,,,,,,,,,,,,,,,,,,,,,,196,#0.31,#5.0,#0,0.32,0.2,21,4.60,3.2,#0,4.92,0.2,15,0.33,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,,,13:41:23,NG,,,,,,,,,,,,,,,,,,,,,,,,,195,#0.32,#5.0,#0,0.32,0.2,20,4.60,3.2,#0,4.92,0.2,15,0.33,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,,,13:41:56,NG,,,,,,,,,,,,,,,,,,,,,,,,,195,#0.32,#5.0,#0,0.34,0.2,21,4.60,3.1,#0,4.92,0.2,15,0.35,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,,,13:50:41,NG,,,,,,,,,,,,,,,,,,,,,,,,,199,#0.32,#5.0,#0,0.34,0.2,21,4.59,3.1,#0,4.91,0.2,15,0.36,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,,,13:51:49,NG,,,,,,,,,,,,,,,,,,,,,,,,,199,#0.32,#5.0,#0,0.34,0.2,21,4.59,3.1,#0,4.90,0.2,14,0.35,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,14:17:05,NG,,,,,,,,,,,,,,,,,,,,,,,,,202,#0.32,#5.0,#0,0.35,0.2,22,4.59,3.1,#0,4.91,0.2,14,0.35,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,14:18:12,NG,,,,,,,,,,,,,,,,,,,,,,,,,199,#0.32,#5.0,#0,0.35,0.2,22,4.59,3.1,#0,4.91,0.2,14,0.35,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,14:19:19,NG,,,,,,,,,,,,,,,,,,,,,,,,,198,#0.32,#5.0,#0,0.34,0.2,21,4.59,3.1,#0,4.90,0.2,14,0.35,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,14:19:54,NG,,,,,,,,,,,,,,,,,,,,,,,,,198,#0.32,#5.0,#0,0.35,0.4,21,4.60,3.3,#0,4.91,0.4,15,0.35,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,14:37:49,NG,,,,,,,,,,,,,,,,,,,,,,,,,200,#0.32,#5.0,#2,0.34,0.4,21,4.60,3.3,#0,4.92,0.4,15,0.35,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,14:42:48,NG,,,,,,,,,,,,,,,,,,,,,,,,,200,#0.32,#5.0,#0,0.34,0.4,21,4.59,3.3,#0,4.92,0.4,14,0.35,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:08:44,NG,,,,,,,,,,,,,,,,,,,,,,,,,#0,0.30,0.4,#1,0.30,0.4,19,#2.04,2.5,#85,4.77,3.7,21,#1.12,#5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
0000_DEFAULT,000000000000000,,15:09:07,NG,,,,,,,,,,,,,,,,,,,,,,,,,118,0.30,0.5,#0,0.34,0.4,21,#3.97,#5.0,#18,4.77,1.1,19,#1.07,#5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#99.99,,,,,,
